,factor1_measure,factor2_measure,factor3_measure,factor4_measure,factor5_measure,factor6_measure,student
1414,13.1,13.6666666667,14.0,15.25,13.0,,302776
1415,0.0,0.0,0.0,13.0,14.6666666667,0.0,302825
1416,13.5,14.0,11.1111111111,13.5,0.0,,302900
1417,0.0,0.0,0.0,11.5,0.0,,302981
1418,0.0,13.0,0.0,14.75,12.5714285714,,303012
1419,14.4,16.0,13.0,16.0,14.1428571429,,303035
1420,0.0,13.0,0.0,14.0,10.0,,303087
1421,0.0,0.0,0.0,13.0,0.0,,303126
1422,11.9,0.0,13.7777777778,12.75,12.2857142857,,303131
1423,13.5,15.0,0.0,14.25,11.7142857143,,303132
1424,12.0,12.3333333333,12.2222222222,14.5,11.2857142857,,303208
1425,15.8,16.0,17.5555555556,16.25,17.0,,303235
1426,0.0,10.3333333333,0.0,14.0,13.7142857143,0.0,303255
1427,0.0,0.0,0.0,14.0,10.0,,303329
1428,13.7,16.0,12.1111111111,13.0,12.2857142857,,303335
1429,0.0,13.0,13.6666666667,14.0,0.0,,303337
1430,0.0,0.0,0.0,12.5,0.0,,303358
1431,0.0,0.0,0.0,15.0,10.0,0.0,303361
1432,13.0,11.3333333333,11.6666666667,14.0,13.0,12.1666666667,303378
1433,0.0,0.0,0.0,11.0,0.0,,303379
1434,0.0,10.6666666667,0.0,14.75,11.1428571429,,303417
1435,0.0,13.3333333333,0.0,14.0,11.1428571429,,303458
1436,,,,,14.5,,303521
1437,0.0,,0.0,0.0,0.0,,303562
1438,14.1,12.3333333333,12.4444444444,13.5,14.1428571429,,303608
1439,0.0,0.0,0.0,15.0,0.0,,303617
1440,0.0,0.0,0.0,0.0,0.0,,304098
1441,11.25,12.0,11.2222222222,14.5,13.8571428571,0.0,304170
1442,12.1,13.6666666667,13.7777777778,15.25,13.4285714286,,304244
1443,16.7,15.6666666667,15.0,13.0,14.0,,304247
1444,0.0,0.0,0.0,13.0,0.0,,304287
1445,0.0,12.3333333333,11.0,14.0,0.0,13.1666666667,304288
1446,12.9,15.0,14.2222222222,15.5,12.5714285714,,304304
1447,0.0,10.0,0.0,12.25,12.4285714286,,304346
1448,0.0,13.3333333333,0.0,12.5,0.0,0.0,304369
1449,0.0,16.0,0.0,14.0,13.0,,304371
1450,13.0,12.3333333333,11.0,13.5,12.0,,304372
1451,0.0,0.0,0.0,13.5,12.1428571429,,304415
1452,0.0,0.0,0.0,12.0,12.0,,304416
1453,0.0,0.0,0.0,13.0,0.0,,304459
1454,16.4,17.6666666667,16.8888888889,14.5,17.8571428571,,304481
1455,0.0,0.0,0.0,12.0,10.0,,304490
1456,13.5,11.6666666667,11.6666666667,13.5,11.5714285714,,304499
1457,0.0,,0.0,13.0,0.0,,304625
1458,14.3,15.0,15.4444444444,15.25,15.7142857143,,304629
1459,0.0,0.0,0.0,12.25,0.0,,304630
1460,0.0,0.0,0.0,13.0,0.0,,304671
1461,0.0,0.0,0.0,11.0,0.0,,304677
1462,0.0,,0.0,13.0,10.0,,304683
1463,0.0,0.0,11.3333333333,11.5,10.0,,304691
1464,12.4,12.6666666667,13.7777777778,12.5,0.0,,304694
1465,0.0,0.0,0.0,10.5,11.0,,304695
1466,0.0,10.0,0.0,12.0,0.0,,304812
1467,0.0,0.0,0.0,11.5,0.0,,304828
1468,0.0,13.6666666667,0.0,13.5,13.0,,304829
1469,16.3,16.3333333333,14.7777777778,15.5,16.0,17.0,304874
1470,0.0,10.0,0.0,13.0,11.0,,304876
1471,12.4,12.0,11.1111111111,15.25,12.5714285714,,304999
1472,0.0,0.0,0.0,0.0,15.0,,305036
